訂單編號,日期,顧客代號,品項,數量,單價,小計,通路
O00402,2025-11-27,C041,麻油麵線,1,85,85,外帶
O00402,2025-11-27,C041,炭烤香腸,1,40,40,外帶
O01064,2025-11-27,C094,炭烤香腸,1,40,40,外帶
O01064,2025-11-27,C094,蚵仔麵線,1,65,65,外送平台
O01064,2025-11-27,C094,古早味紅茶,1,25,25,外送平台
O00002,2025-11-29,C002,古早味紅茶,1,25,25,外送平台
O01074,2025-11-29,C095,蚵仔麵線,1,65,65,外帶
O01390,2025-11-29,C122,炭烤香腸,1,40,40,外送平台
O01390,2025-11-29,C122,炭烤香腸,1,40,40,外帶
O01390,2025-11-29,C122,蚵仔麵線,2,65,130,外帶
O00734,2025-11-30,C067,古早味紅茶,2,25,50,外帶
O01071,2025-11-30,C095,古早味紅茶,1,25,25,外送平台
O00428,2025-12-01,C046,燙青菜,1,45,45,外帶
O00428,2025-12-01,C046,麻油麵線,1,85,85,外帶
O00818,2025-12-01,C075,麻油麵線,1,85,85,內用
O00818,2025-12-01,C075,麻油麵線,2,85,170,外送平台
O00922,2025-12-01,C083,燙青菜,1,45,45,外帶
O00922,2025-12-01,C083,古早味紅茶,1,25,25,內用
O00922,2025-12-01,C083,燙青菜,1,45,45,外帶
O00429,2025-12-02,C046,蚵仔麵線,2,65,130,外帶
O00518,2025-12-02,C051,燙青菜,1,45,45,外帶
O00353,2025-12-03,C034,燙青菜,2,45,90,內用
O00353,2025-12-03,C034,古早味紅茶,1,25,25,外送平台
O00353,2025-12-03,C034,滷味拼盤,2,90,180,外送平台
O01167,2025-12-03,C109,炭烤香腸,1,40,40,外帶
O01569,2025-12-03,C137,蚵仔麵線,1,65,65,外帶
O01569,2025-12-03,C137,滷味拼盤,1,90,90,外帶
O00482,2025-12-04,C049,蚵仔麵線,2,65,130,外帶
O01033,2025-12-04,C091,古早味紅茶,1,25,25,外送平台
O00438,2025-12-05,C046,炭烤香腸,1,40,40,外送平台
O00438,2025-12-05,C046,古早味紅茶,1,25,25,內用
O00438,2025-12-05,C046,滷味拼盤,1,90,90,外帶
O01039,2025-12-05,C091,麻油麵線,1,85,85,外送平台
O01039,2025-12-05,C091,蚵仔麵線,1,65,65,外帶
O01587,2025-12-05,C137,燙青菜,1,45,45,內用
O00436,2025-12-06,C046,滷味拼盤,2,90,180,外送平台
O00436,2025-12-06,C046,炭烤香腸,1,40,40,外帶
O00508,2025-12-06,C050,燙青菜,1,45,45,外送平台
O00508,2025-12-06,C050,燙青菜,1,45,45,外帶
O00508,2025-12-06,C050,蚵仔麵線,2,65,130,外帶
O00910,2025-12-07,C082,古早味紅茶,2,25,50,外帶
O00365,2025-12-08,C034,古早味紅茶,1,25,25,外送平台
O00365,2025-12-08,C034,燙青菜,1,45,45,外帶
O00585,2025-12-08,C056,炭烤香腸,1,40,40,外帶
O00585,2025-12-08,C056,滷味拼盤,1,90,90,外帶
O00576,2025-12-09,C056,炭烤香腸,2,40,80,外送平台
O00785,2025-12-09,C072,古早味紅茶,2,25,50,外送平台
O01073,2025-12-09,C095,燙青菜,1,45,45,內用
O01073,2025-12-09,C095,蚵仔麵線,1,65,65,外送平台
O01537,2025-12-09,C135,蚵仔麵線,1,65,65,外帶
O01537,2025-12-09,C135,古早味紅茶,1,25,25,外送平台
O01575,2025-12-09,C137,燙青菜,2,45,90,內用
O00432,2025-12-10,C046,燙青菜,1,45,45,內用
O00440,2025-12-10,C046,炭烤香腸,1,40,40,外送平台
O00440,2025-12-10,C046,古早味紅茶,1,25,25,外帶
O00562,2025-12-10,C056,古早味紅茶,1,25,25,外送平台
O00562,2025-12-10,C056,炭烤香腸,2,40,80,外帶
O00562,2025-12-10,C056,燙青菜,1,45,45,外帶
O00789,2025-12-10,C072,炭烤香腸,2,40,80,外帶
O00789,2025-12-10,C072,蚵仔麵線,1,65,65,外帶
O01588,2025-12-10,C137,蚵仔麵線,2,65,130,外送平台
O00442,2025-12-11,C046,蚵仔麵線,1,65,65,內用
O00442,2025-12-11,C046,炭烤香腸,1,40,40,內用
O01580,2025-12-11,C137,麻油麵線,1,85,85,外帶
O00009,2025-12-12,C002,炭烤香腸,2,40,80,內用
O00591,2025-12-13,C057,燙青菜,2,45,90,外送平台
O00591,2025-12-13,C057,古早味紅茶,1,25,25,內用
O00890,2025-12-13,C080,燙青菜,1,45,45,外帶
O00890,2025-12-13,C080,麻油麵線,1,85,85,外送平台
O01158,2025-12-13,C109,炭烤香腸,1,40,40,內用
O01158,2025-12-13,C109,麻油麵線,1,85,85,外帶
O00864,2025-12-14,C080,滷味拼盤,1,90,90,外帶
O00864,2025-12-14,C080,炭烤香腸,1,40,40,外帶
O00434,2025-12-15,C046,麻油麵線,1,85,85,外帶
O00434,2025-12-15,C046,滷味拼盤,1,90,90,外帶
O00589,2025-12-16,C057,古早味紅茶,1,25,25,外帶
O01031,2025-12-16,C091,燙青菜,1,45,45,內用
O01031,2025-12-16,C091,古早味紅茶,2,25,50,外帶
O01335,2025-12-16,C117,古早味紅茶,1,25,25,外帶
O01335,2025-12-16,C117,蚵仔麵線,2,65,130,外帶
O01335,2025-12-16,C117,麻油麵線,2,85,170,外帶
O01354,2025-12-16,C118,麻油麵線,1,85,85,外帶
O01354,2025-12-16,C118,古早味紅茶,1,25,25,內用
O00019,2025-12-17,C005,麻油麵線,1,85,85,外帶
O00019,2025-12-17,C005,古早味紅茶,1,25,25,外帶
O01268,2025-12-17,C114,燙青菜,1,45,45,內用
O01268,2025-12-17,C114,燙青菜,2,45,90,外送平台
O01268,2025-12-17,C114,炭烤香腸,1,40,40,內用
O00480,2025-12-18,C049,古早味紅茶,1,25,25,外帶
O00480,2025-12-18,C049,古早味紅茶,2,25,50,外帶
O00480,2025-12-18,C049,滷味拼盤,1,90,90,外帶
O00590,2025-12-18,C057,滷味拼盤,1,90,90,外帶
O01555,2025-12-18,C136,炭烤香腸,2,40,80,外送平台
O01555,2025-12-18,C136,炭烤香腸,1,40,40,內用
O00021,2025-12-19,C005,滷味拼盤,1,90,90,外帶
O00033,2025-12-19,C007,滷味拼盤,1,90,90,外送平台
O00033,2025-12-19,C007,滷味拼盤,1,90,90,外帶
O00042,2025-12-19,C007,炭烤香腸,1,40,40,外送平台
O00507,2025-12-19,C050,燙青菜,2,45,90,外帶
O00972,2025-12-19,C088,麻油麵線,1,85,85,外帶
O00972,2025-12-19,C088,蚵仔麵線,2,65,130,內用
O00972,2025-12-19,C088,燙青菜,1,45,45,外帶
O01556,2025-12-19,C136,麻油麵線,1,85,85,外帶
O01556,2025-12-19,C136,蚵仔麵線,1,65,65,外送平台
O00005,2025-12-20,C002,滷味拼盤,1,90,90,外帶
O00592,2025-12-20,C057,蚵仔麵線,1,65,65,外帶
O00592,2025-12-20,C057,燙青菜,2,45,90,外帶
O00593,2025-12-20,C057,炭烤香腸,1,40,40,外帶
O00593,2025-12-20,C057,麻油麵線,1,85,85,外帶
O00728,2025-12-20,C067,炭烤香腸,1,40,40,內用
O00728,2025-12-20,C067,古早味紅茶,1,25,25,外送平台
O00768,2025-12-20,C070,古早味紅茶,2,25,50,外送平台
O00768,2025-12-20,C070,炭烤香腸,1,40,40,外送平台
O00768,2025-12-20,C070,麻油麵線,2,85,170,外帶
O00010,2025-12-22,C002,炭烤香腸,2,40,80,外帶
O00010,2025-12-22,C002,燙青菜,2,45,90,外送平台
O00010,2025-12-22,C002,蚵仔麵線,1,65,65,外帶
O00881,2025-12-22,C080,燙青菜,2,45,90,外送平台
O01576,2025-12-22,C137,麻油麵線,2,85,170,外帶
O00360,2025-12-23,C034,炭烤香腸,2,40,80,外送平台
O00788,2025-12-23,C072,麻油麵線,2,85,170,外帶
O00788,2025-12-23,C072,炭烤香腸,2,40,80,外帶
O00495,2025-12-24,C050,炭烤香腸,2,40,80,外送平台
O00495,2025-12-24,C050,炭烤香腸,1,40,40,外帶
O00004,2025-12-25,C002,麻油麵線,1,85,85,外帶
O00275,2025-12-25,C030,滷味拼盤,1,90,90,外帶
O00587,2025-12-25,C057,滷味拼盤,2,90,180,外帶
O00587,2025-12-25,C057,蚵仔麵線,2,65,130,內用
O00880,2025-12-25,C080,滷味拼盤,1,90,90,外帶
O00880,2025-12-25,C080,麻油麵線,2,85,170,外帶
O01208,2025-12-25,C111,古早味紅茶,2,25,50,外帶
O00528,2025-12-26,C051,炭烤香腸,1,40,40,外送平台
O00715,2025-12-26,C067,炭烤香腸,1,40,40,外帶
O00715,2025-12-26,C067,滷味拼盤,1,90,90,內用
O00715,2025-12-26,C067,蚵仔麵線,1,65,65,外帶
O01160,2025-12-26,C109,麻油麵線,1,85,85,內用
O01160,2025-12-26,C109,古早味紅茶,1,25,25,外送平台
O01160,2025-12-26,C109,燙青菜,1,45,45,外帶
O01583,2025-12-26,C137,滷味拼盤,1,90,90,外送平台
O01583,2025-12-26,C137,蚵仔麵線,2,65,130,外帶
O01333,2025-12-27,C117,蚵仔麵線,1,65,65,外帶
O01333,2025-12-27,C117,麻油麵線,1,85,85,外帶
O00492,2025-12-28,C050,古早味紅茶,1,25,25,外帶
O00492,2025-12-28,C050,燙青菜,1,45,45,外帶
O00492,2025-12-28,C050,古早味紅茶,1,25,25,外送平台
O00722,2025-12-28,C067,燙青菜,1,45,45,外帶
O00942,2025-12-28,C083,炭烤香腸,1,40,40,外送平台
O00942,2025-12-28,C083,古早味紅茶,1,25,25,外帶
O00942,2025-12-28,C083,蚵仔麵線,1,65,65,外帶
O00435,2025-12-29,C046,燙青菜,1,45,45,外帶
O00719,2025-12-29,C067,蚵仔麵線,2,65,130,外帶
O00791,2025-12-29,C072,古早味紅茶,1,25,25,外送平台
O00791,2025-12-29,C072,炭烤香腸,2,40,80,外帶
O00791,2025-12-29,C072,蚵仔麵線,1,65,65,外帶
O01124,2025-12-29,C104,蚵仔麵線,1,65,65,外帶
O00025,2025-12-30,C005,滷味拼盤,1,90,90,外帶
O00025,2025-12-30,C005,蚵仔麵線,1,65,65,內用
O00025,2025-12-30,C005,滷味拼盤,1,90,90,外帶
O01581,2025-12-30,C137,滷味拼盤,1,90,90,外帶
O01581,2025-12-30,C137,滷味拼盤,2,90,180,外帶
O01581,2025-12-30,C137,麻油麵線,2,85,170,外帶
O00022,2025-12-31,C005,炭烤香腸,1,40,40,外帶
O00022,2025-12-31,C005,麻油麵線,1,85,85,外帶
O00079,2025-12-31,C011,麻油麵線,1,85,85,內用
O00079,2025-12-31,C011,炭烤香腸,1,40,40,外帶
O00079,2025-12-31,C011,滷味拼盤,1,90,90,外帶
O00568,2025-12-31,C056,麻油麵線,1,85,85,內用
O00568,2025-12-31,C056,古早味紅茶,1,25,25,外帶
O01564,2025-12-31,C136,燙青菜,1,45,45,外送平台
O01564,2025-12-31,C136,蚵仔麵線,1,65,65,外帶
O01564,2025-12-31,C136,燙青菜,2,45,90,外送平台
O00011,2026-01-01,C002,炭烤香腸,1,40,40,外帶
O00950,2026-01-01,C083,古早味紅茶,1,25,25,外帶
O00950,2026-01-01,C083,古早味紅茶,1,25,25,內用
O00950,2026-01-01,C083,麻油麵線,1,85,85,外帶
O00425,2026-01-02,C046,炭烤香腸,1,40,40,外帶
O00800,2026-01-02,C072,蚵仔麵線,1,65,65,內用
O01275,2026-01-02,C114,蚵仔麵線,1,65,65,外送平台
O01343,2026-01-02,C117,燙青菜,2,45,90,外帶
O00472,2026-01-03,C049,滷味拼盤,1,90,90,內用
O00472,2026-01-03,C049,滷味拼盤,1,90,90,內用
O00472,2026-01-03,C049,燙青菜,2,45,90,外送平台
O01386,2026-01-03,C122,燙青菜,1,45,45,內用
O01386,2026-01-03,C122,炭烤香腸,1,40,40,內用
O01386,2026-01-03,C122,蚵仔麵線,1,65,65,內用
O00727,2026-01-05,C067,炭烤香腸,1,40,40,外送平台
O00727,2026-01-05,C067,燙青菜,1,45,45,外送平台
O00727,2026-01-05,C067,蚵仔麵線,1,65,65,內用
O00468,2026-01-06,C049,蚵仔麵線,1,65,65,外帶
O00551,2026-01-06,C055,燙青菜,1,45,45,外帶
O01070,2026-01-06,C095,燙青菜,1,45,45,外帶
O01070,2026-01-06,C095,燙青菜,1,45,45,外帶
O01070,2026-01-06,C095,燙青菜,1,45,45,外帶
O00594,2026-01-07,C057,滷味拼盤,1,90,90,外帶
O01586,2026-01-07,C137,燙青菜,2,45,90,外送平台
O01586,2026-01-07,C137,蚵仔麵線,1,65,65,外帶
O00235,2026-01-08,C026,燙青菜,1,45,45,外帶
O00235,2026-01-08,C026,麻油麵線,2,85,170,外帶
O00430,2026-01-08,C046,炭烤香腸,1,40,40,外送平台
O00430,2026-01-08,C046,蚵仔麵線,1,65,65,內用
O00566,2026-01-08,C056,蚵仔麵線,1,65,65,外帶
O00566,2026-01-08,C056,蚵仔麵線,1,65,65,外帶
O00483,2026-01-09,C050,滷味拼盤,1,90,90,外帶
O00865,2026-01-09,C080,炭烤香腸,1,40,40,外帶
O00865,2026-01-09,C080,滷味拼盤,1,90,90,內用
O01349,2026-01-09,C117,古早味紅茶,1,25,25,外送平台
O01349,2026-01-09,C117,燙青菜,1,45,45,外帶
O01579,2026-01-10,C137,炭烤香腸,1,40,40,外帶
O01579,2026-01-10,C137,蚵仔麵線,1,65,65,內用
O00822,2026-01-11,C075,燙青菜,1,45,45,外帶
O00869,2026-01-11,C080,炭烤香腸,2,40,80,外帶
O00869,2026-01-11,C080,燙青菜,1,45,45,外帶
O00978,2026-01-11,C088,麻油麵線,1,85,85,內用
O00978,2026-01-11,C088,燙青菜,2,45,90,外送平台
O01609,2026-01-11,C140,燙青菜,1,45,45,外帶
O01609,2026-01-11,C140,麻油麵線,1,85,85,外送平台
O00035,2026-01-12,C007,麻油麵線,1,85,85,外帶
O00035,2026-01-12,C007,蚵仔麵線,1,65,65,外帶
O00899,2026-01-12,C080,蚵仔麵線,1,65,65,內用
O01286,2026-01-12,C114,古早味紅茶,1,25,25,外送平台
O01286,2026-01-12,C114,古早味紅茶,1,25,25,外送平台
O01286,2026-01-12,C114,滷味拼盤,1,90,90,外送平台
O01546,2026-01-12,C136,麻油麵線,1,85,85,外帶
O01546,2026-01-12,C136,麻油麵線,1,85,85,外帶
O01568,2026-01-12,C137,麻油麵線,1,85,85,內用
O01568,2026-01-12,C137,炭烤香腸,2,40,80,內用
O00893,2026-01-13,C080,蚵仔麵線,2,65,130,外帶
O00893,2026-01-13,C080,炭烤香腸,1,40,40,外帶
O00893,2026-01-13,C080,滷味拼盤,2,90,180,外送平台
O01249,2026-01-13,C113,蚵仔麵線,1,65,65,外帶
O01566,2026-01-13,C136,古早味紅茶,1,25,25,外帶
O00032,2026-01-14,C007,滷味拼盤,1,90,90,外帶
O00586,2026-01-14,C057,古早味紅茶,2,25,50,外帶
O00588,2026-01-14,C057,古早味紅茶,1,25,25,外帶
O00794,2026-01-14,C072,滷味拼盤,1,90,90,內用
O00794,2026-01-14,C072,燙青菜,1,45,45,外帶
O00794,2026-01-14,C072,燙青菜,1,45,45,外帶
O00944,2026-01-14,C083,蚵仔麵線,1,65,65,外帶
O00944,2026-01-14,C083,古早味紅茶,1,25,25,外帶
O01572,2026-01-14,C137,燙青菜,1,45,45,外送平台
O01572,2026-01-14,C137,古早味紅茶,1,25,25,內用
O00878,2026-01-16,C080,燙青菜,1,45,45,內用
O00878,2026-01-16,C080,滷味拼盤,1,90,90,外送平台
O00878,2026-01-16,C080,麻油麵線,1,85,85,外送平台
O01338,2026-01-16,C117,蚵仔麵線,1,65,65,外帶
O00776,2026-01-17,C070,蚵仔麵線,1,65,65,外帶
O01247,2026-01-17,C113,炭烤香腸,2,40,80,外帶
O01247,2026-01-17,C113,麻油麵線,1,85,85,內用
O01247,2026-01-17,C113,炭烤香腸,1,40,40,內用
O00024,2026-01-18,C005,燙青菜,1,45,45,外送平台
O00024,2026-01-18,C005,滷味拼盤,1,90,90,外帶
O00522,2026-01-18,C051,古早味紅茶,1,25,25,外送平台
O00522,2026-01-18,C051,炭烤香腸,1,40,40,外送平台
O00023,2026-01-19,C005,燙青菜,1,45,45,外送平台
O00023,2026-01-19,C005,古早味紅茶,1,25,25,外帶
O00074,2026-01-19,C011,古早味紅茶,1,25,25,外帶
O00074,2026-01-19,C011,炭烤香腸,1,40,40,內用
O00074,2026-01-19,C011,蚵仔麵線,2,65,130,外送平台
O00503,2026-01-19,C050,蚵仔麵線,1,65,65,外帶
O00503,2026-01-19,C050,蚵仔麵線,1,65,65,內用
O00503,2026-01-19,C050,蚵仔麵線,1,65,65,外送平台
O00973,2026-01-19,C088,古早味紅茶,1,25,25,外送平台
O00973,2026-01-19,C088,麻油麵線,1,85,85,內用
O01542,2026-01-19,C136,古早味紅茶,1,25,25,外送平台
O01542,2026-01-19,C136,古早味紅茶,2,25,50,外送平台
O00915,2026-01-21,C083,炭烤香腸,1,40,40,外帶
O00915,2026-01-21,C083,古早味紅茶,1,25,25,內用
O01279,2026-01-21,C114,滷味拼盤,1,90,90,外帶
O01279,2026-01-21,C114,古早味紅茶,1,25,25,外帶
O01062,2026-01-22,C093,炭烤香腸,1,40,40,外帶
O01535,2026-01-22,C135,炭烤香腸,1,40,40,外送平台
O01535,2026-01-22,C135,炭烤香腸,1,40,40,外帶
O00729,2026-01-23,C067,古早味紅茶,1,25,25,外帶
O00729,2026-01-23,C067,燙青菜,1,45,45,外送平台
O01233,2026-01-23,C113,炭烤香腸,1,40,40,內用
O01348,2026-01-24,C117,蚵仔麵線,2,65,130,外送平台
O01538,2026-01-24,C135,滷味拼盤,1,90,90,外帶
O01570,2026-01-24,C137,滷味拼盤,1,90,90,內用
O00469,2026-01-25,C049,蚵仔麵線,1,65,65,外帶
O00469,2026-01-25,C049,蚵仔麵線,1,65,65,外帶
O00041,2026-01-26,C007,蚵仔麵線,1,65,65,外送平台
O00738,2026-01-26,C067,古早味紅茶,1,25,25,外帶
O00738,2026-01-26,C067,麻油麵線,2,85,170,內用
O01264,2026-01-26,C114,燙青菜,1,45,45,外帶
O01264,2026-01-26,C114,滷味拼盤,1,90,90,外送平台
O01602,2026-01-26,C140,蚵仔麵線,1,65,65,內用
O00529,2026-01-27,C051,古早味紅茶,1,25,25,外送平台
O00936,2026-01-27,C083,炭烤香腸,1,40,40,外帶
O00936,2026-01-27,C083,燙青菜,1,45,45,外帶
O01132,2026-01-27,C104,古早味紅茶,1,25,25,外帶
O01340,2026-01-27,C117,蚵仔麵線,1,65,65,內用
O01340,2026-01-27,C117,蚵仔麵線,1,65,65,外送平台
O01340,2026-01-27,C117,燙青菜,1,45,45,內用
O01364,2026-01-27,C120,滷味拼盤,1,90,90,外帶
O00478,2026-01-28,C049,炭烤香腸,1,40,40,外帶
O00478,2026-01-28,C049,燙青菜,1,45,45,外帶
O00783,2026-01-28,C072,麻油麵線,1,85,85,外帶
O01274,2026-01-28,C114,古早味紅茶,1,25,25,內用
O01331,2026-01-28,C117,炭烤香腸,1,40,40,外送平台
O01331,2026-01-28,C117,古早味紅茶,1,25,25,外帶
O00983,2026-01-29,C088,炭烤香腸,2,40,80,外帶
O01241,2026-01-29,C113,蚵仔麵線,2,65,130,外送平台
O01241,2026-01-29,C113,滷味拼盤,1,90,90,外帶
O01241,2026-01-29,C113,蚵仔麵線,1,65,65,內用
O00559,2026-01-30,C056,滷味拼盤,1,90,90,外帶
O00559,2026-01-30,C056,炭烤香腸,1,40,40,外送平台
O00725,2026-01-30,C067,古早味紅茶,2,25,50,內用
O00725,2026-01-30,C067,古早味紅茶,2,25,50,外帶
O01250,2026-01-30,C113,蚵仔麵線,1,65,65,外送平台
O01250,2026-01-30,C113,滷味拼盤,1,90,90,外帶
O01378,2026-01-30,C120,麻油麵線,1,85,85,外帶
O01378,2026-01-30,C120,麻油麵線,2,85,170,內用
O01378,2026-01-30,C120,滷味拼盤,1,90,90,外送平台
O01607,2026-01-30,C140,燙青菜,1,45,45,內用
O01607,2026-01-30,C140,滷味拼盤,2,90,180,外送平台
O01607,2026-01-30,C140,麻油麵線,1,85,85,外帶
O00233,2026-01-31,C026,古早味紅茶,1,25,25,外送平台
O00717,2026-01-31,C067,燙青菜,2,45,90,外帶
O00717,2026-01-31,C067,滷味拼盤,1,90,90,外帶
O00825,2026-02-01,C075,滷味拼盤,1,90,90,外送平台
O00825,2026-02-01,C075,古早味紅茶,1,25,25,外帶
O00837,2026-02-01,C076,燙青菜,1,45,45,外帶
O00837,2026-02-01,C076,麻油麵線,2,85,170,內用
O00837,2026-02-01,C076,蚵仔麵線,1,65,65,外帶
O00888,2026-02-01,C080,炭烤香腸,1,40,40,內用
O00888,2026-02-01,C080,古早味紅茶,1,25,25,外帶
O00888,2026-02-01,C080,滷味拼盤,1,90,90,外帶
O01206,2026-02-01,C111,古早味紅茶,1,25,25,外帶
O01206,2026-02-01,C111,滷味拼盤,1,90,90,外送平台
O01206,2026-02-01,C111,麻油麵線,1,85,85,外帶
O00225,2026-02-02,C026,燙青菜,1,45,45,外送平台
O00225,2026-02-02,C026,蚵仔麵線,1,65,65,內用
O00490,2026-02-02,C050,滷味拼盤,1,90,90,外帶
O00490,2026-02-02,C050,滷味拼盤,2,90,180,外帶
O00902,2026-02-03,C080,燙青菜,1,45,45,外帶
O00902,2026-02-03,C080,炭烤香腸,1,40,40,內用
O01356,2026-02-03,C118,滷味拼盤,1,90,90,外帶
O01356,2026-02-03,C118,麻油麵線,1,85,85,外帶
O01596,2026-02-03,C140,炭烤香腸,2,40,80,內用
O00018,2026-02-04,C005,蚵仔麵線,1,65,65,內用
O00018,2026-02-04,C005,燙青菜,1,45,45,外送平台
O00595,2026-02-04,C058,滷味拼盤,1,90,90,外帶
O00036,2026-02-05,C007,古早味紅茶,1,25,25,外送平台
O00036,2026-02-05,C007,炭烤香腸,1,40,40,內用
O00036,2026-02-05,C007,蚵仔麵線,1,65,65,外帶
O00048,2026-02-05,C007,古早味紅茶,1,25,25,外帶
O00357,2026-02-05,C034,麻油麵線,1,85,85,外帶
O01136,2026-02-06,C104,炭烤香腸,1,40,40,外帶
O00790,2026-02-07,C072,古早味紅茶,1,25,25,外帶
O00830,2026-02-07,C075,麻油麵線,1,85,85,外帶
O00830,2026-02-07,C075,麻油麵線,1,85,85,內用
O00830,2026-02-07,C075,燙青菜,1,45,45,外送平台
O01237,2026-02-07,C113,蚵仔麵線,1,65,65,外帶
O00029,2026-02-08,C007,麻油麵線,1,85,85,內用
O01388,2026-02-08,C122,燙青菜,2,45,90,外送平台
O00086,2026-02-09,C012,燙青菜,1,45,45,外帶
O00088,2026-02-09,C012,滷味拼盤,1,90,90,外帶
O00091,2026-02-09,C012,麻油麵線,2,85,170,外帶
O00092,2026-02-09,C012,蚵仔麵線,1,65,65,外帶
O00092,2026-02-09,C012,滷味拼盤,2,90,180,外帶
O00092,2026-02-09,C012,蚵仔麵線,1,65,65,外帶
O00093,2026-02-09,C012,麻油麵線,2,85,170,外送平台
O00093,2026-02-09,C012,燙青菜,1,45,45,外送平台
O00094,2026-02-09,C012,炭烤香腸,1,40,40,外帶
O00094,2026-02-09,C012,滷味拼盤,1,90,90,內用
O00097,2026-02-09,C012,蚵仔麵線,1,65,65,外帶
O00098,2026-02-09,C012,炭烤香腸,1,40,40,外送平台
O00099,2026-02-09,C012,滷味拼盤,1,90,90,外帶
O00190,2026-02-09,C024,滷味拼盤,2,90,180,外送平台
O00190,2026-02-09,C024,炭烤香腸,2,40,80,外送平台
O00194,2026-02-09,C024,炭烤香腸,2,40,80,內用
O00194,2026-02-09,C024,炭烤香腸,2,40,80,外帶
O00195,2026-02-09,C024,燙青菜,2,45,90,外帶
O00197,2026-02-09,C024,蚵仔麵線,1,65,65,外送平台
O00197,2026-02-09,C024,滷味拼盤,1,90,90,外帶
O00198,2026-02-09,C024,燙青菜,1,45,45,外送平台
O00201,2026-02-09,C024,蚵仔麵線,1,65,65,外帶
O00204,2026-02-09,C024,炭烤香腸,2,40,80,內用
O00891,2026-02-09,C080,炭烤香腸,2,40,80,外帶
O00891,2026-02-09,C080,蚵仔麵線,1,65,65,內用
O01130,2026-02-09,C104,麻油麵線,1,85,85,內用
O01130,2026-02-09,C104,麻油麵線,1,85,85,外帶
O01269,2026-02-09,C114,麻油麵線,1,85,85,內用
O01269,2026-02-09,C114,滷味拼盤,2,90,180,外帶
O01269,2026-02-09,C114,燙青菜,1,45,45,外帶
O00080,2026-02-10,C012,滷味拼盤,2,90,180,內用
O00080,2026-02-10,C012,燙青菜,1,45,45,外帶
O00080,2026-02-10,C012,古早味紅茶,1,25,25,外送平台
O00081,2026-02-10,C012,炭烤香腸,1,40,40,外帶
O00081,2026-02-10,C012,滷味拼盤,1,90,90,外送平台
O00082,2026-02-10,C012,古早味紅茶,1,25,25,內用
O00083,2026-02-10,C012,蚵仔麵線,1,65,65,外帶
O00083,2026-02-10,C012,炭烤香腸,1,40,40,外帶
O00084,2026-02-10,C012,滷味拼盤,1,90,90,內用
O00084,2026-02-10,C012,古早味紅茶,1,25,25,外帶
O00085,2026-02-10,C012,炭烤香腸,1,40,40,外送平台
O00085,2026-02-10,C012,燙青菜,1,45,45,外帶
O00087,2026-02-10,C012,麻油麵線,1,85,85,外帶
O00087,2026-02-10,C012,古早味紅茶,1,25,25,外送平台
O00087,2026-02-10,C012,燙青菜,2,45,90,外帶
O00089,2026-02-10,C012,燙青菜,1,45,45,內用
O00089,2026-02-10,C012,燙青菜,1,45,45,外帶
O00090,2026-02-10,C012,古早味紅茶,1,25,25,外帶
O00095,2026-02-10,C012,古早味紅茶,1,25,25,內用
O00095,2026-02-10,C012,燙青菜,1,45,45,外送平台
O00095,2026-02-10,C012,燙青菜,2,45,90,內用
O00096,2026-02-10,C012,麻油麵線,1,85,85,內用
O00116,2026-02-10,C014,古早味紅茶,2,25,50,外帶
O00116,2026-02-10,C014,滷味拼盤,1,90,90,內用
O00121,2026-02-10,C014,蚵仔麵線,1,65,65,外帶
O00191,2026-02-10,C024,麻油麵線,1,85,85,外帶
O00192,2026-02-10,C024,燙青菜,2,45,90,外送平台
O00192,2026-02-10,C024,麻油麵線,1,85,85,外送平台
O00193,2026-02-10,C024,滷味拼盤,1,90,90,外送平台
O00196,2026-02-10,C024,炭烤香腸,1,40,40,外送平台
O00199,2026-02-10,C024,炭烤香腸,1,40,40,內用
O00200,2026-02-10,C024,燙青菜,2,45,90,外送平台
O00200,2026-02-10,C024,蚵仔麵線,1,65,65,外帶
O00202,2026-02-10,C024,麻油麵線,2,85,170,外帶
O00203,2026-02-10,C024,蚵仔麵線,2,65,130,外送平台
O00535,2026-02-10,C052,炭烤香腸,1,40,40,內用
O00537,2026-02-10,C052,燙青菜,1,45,45,外帶
O00538,2026-02-10,C052,滷味拼盤,1,90,90,內用
O00541,2026-02-10,C052,燙青菜,2,45,90,外帶
O00542,2026-02-10,C052,麻油麵線,1,85,85,外送平台
O00542,2026-02-10,C052,滷味拼盤,1,90,90,外帶
O00542,2026-02-10,C052,燙青菜,1,45,45,內用
O00543,2026-02-10,C052,炭烤香腸,2,40,80,外帶
O00543,2026-02-10,C052,燙青菜,1,45,45,外帶
O00543,2026-02-10,C052,麻油麵線,1,85,85,外送平台
O00760,2026-02-10,C070,古早味紅茶,1,25,25,外帶
O00760,2026-02-10,C070,滷味拼盤,1,90,90,外帶
O00760,2026-02-10,C070,蚵仔麵線,1,65,65,內用
O00761,2026-02-10,C070,麻油麵線,1,85,85,外帶
O00834,2026-02-10,C075,麻油麵線,1,85,85,內用
O00945,2026-02-10,C083,燙青菜,1,45,45,外帶
O00945,2026-02-10,C083,古早味紅茶,1,25,25,外送平台
O01242,2026-02-10,C113,古早味紅茶,1,25,25,外帶
O01513,2026-02-10,C130,燙青菜,2,45,90,內用
O00533,2026-02-11,C052,燙青菜,1,45,45,外帶
